Area_Name,class
Mtarazi NP,National Park
Hwange NP,National Park
Ngamo FL,Forest Land
Railway Farm 31 SL,State Land
Mutare South ICA,Intensive Conservation Area
Dora CL,Communal Land
Banti FL,Forest Land
Nyambewa FL,Forest Land
Tandai FL,Forest Land
Chikukwa CL,Communal Land
Chimanimani ICA,Intensive Conservation Area
Muwushu CL,Communal Land
Tarika FL,Forest Land
Glencoe FL,Forest Land
Mid Save ICA,Intensive Conservation Area
Musikavanhu CL,Communal Land
Save SSCFA,Small-Scale Commercial Farm Area
Zinyama SSCFA,Small-Scale Commercial Farm Area
Ramakwebane CL,Communal Land
Mpande CL,Communal Land
Radtladi CL,Communal Land
Marula ICA,Intensive Conservation Area
Brunapeg CL,Communal Land
Sansukwe CL,Communal Land
Mphoengs CL,Communal Land
Ngulube CL,Communal Land
Dibilishaba CL,Communal Land
Mambali CL,Communal Land
Machuchuta CL,Communal Land
Tuli SA,Safari Area
Tuli SA,Safari Area
Masera CL,Communal Land
Mwenezi ICA,Intensive Conservation Area
Chipise CL,Communal Land
Kachuta CL,Communal Land
Bakasa CL,Communal Land
Karoi North ICA,Intensive Conservation Area
Horseshoe ICA,Intensive Conservation Area
Gota SSCFA,Small-Scale Commercial Farm Area
Nyaodza CL,Communal Land
Hurungwe CL,Communal Land
Nyakapupu SSCFA,Small-Scale Commercial Farm Area
Ayrshire North ICA,Intensive Conservation Area
Mvurwi ICA,Intensive Conservation Area
Bindura ICA,Intensive Conservation Area
Ayrshire North ICA,Intensive Conservation Area
Guruve CL,Communal Land
Shamva ICA,Intensive Conservation Area
Angwa North ICA,Intensive Conservation Area
Gandavaroyi CL,Communal Land
Rengwe CL,Communal Land
Tengwe ICA,Intensive Conservation Area
Ayrshire South ICA,Intensive Conservation Area
Banket Eldorado ICA,Intensive Conservation Area
Sebungwe CL,Communal Land
Uzumba CL,Communal Land
Masembura CL,Communal Land
Glendale ICA,Intensive Conservation Area
Chinamora CL,Communal Land
CHINHOYI,
Musana CL,Communal Land
Chikore CL,Communal Land
Budja SSCFA,Small-Scale Commercial Farm Area
Chikwaka CL,Communal Land
Darwendale ICA,Intensive Conservation Area
Selous ICA,Intensive Conservation Area
Gwebi Hunyani ICA,Intensive Conservation Area
Arcturus ICA,Intensive Conservation Area
Zowa SSCFA,Small-Scale Commercial Farm Area
Magondi CL,Communal Land
Chirau CL,Communal Land
Hartley SA,Safari Area
Mayo ICA,Intensive Conservation Area
Tanda CL,Communal Land
HARARE,
Chenjiri SSCFA,Small-Scale Commercial Farm Area
Kunzwi CL,Communal Land
Shangure SSCFA,Small-Scale Commercial Farm Area
Chinyika CL,Communal Land
Bromley ICA,Intensive Conservation Area
Mupfure RP,
Kutama SSCFA,Small-Scale Commercial Farm Area
Msengezi SSCFA,Small-Scale Commercial Farm Area
Lake Robertson,
Lake Robertson,
Norton ICA,Intensive Conservation Area
Lake Robertson,
Ruwa ICA,Intensive Conservation Area
Chinyika ICA,Intensive Conservation Area
CHITUNGWIZA,
Muzvezve ICA,Intensive Conservation Area
Seke CL,Communal Land
Sokis ICA,Intensive Conservation Area
Mondoro CL,Communal Land
Marandera West ICA,Intensive Conservation Area
State Land,
Nyanga ICA,Intensive Conservation Area
Wenimbi ICA,Intensive Conservation Area
Wenimbi ICA,Intensive Conservation Area
MARONDERA,
NYANGA,
Mzolo FL,Forest Land
Muda SSCFA,Small-Scale Commercial Farm Area
Lubumbi CL,Communal Land
Chiota CL,Communal Land
Beatrice ICA,Intensive Conservation Area
Sokis ICA,Intensive Conservation Area
Wedza North ICA,Intensive Conservation Area
Chimbghanda SSCFA,Small-Scale Commercial Farm Area
Battlefields ICA,Intensive Conservation Area
Manyika CL,Communal Land
Gwayi Valley SL,State Land
Wedza South ICA,Intensive Conservation Area
Featherstone ICA,Intensive Conservation Area
Claw Dam,
Mzola CL,Communal Land
Gwayi Valley ICA,Intensive Conservation Area
Saint Faith,
Ngezi CL,Communal Land
Rusape ICA,Intensive Conservation Area
Wedza CL,Communal Land
Bubi ICA,Intensive Conservation Area
Sessombi ICA,Intensive Conservation Area
Gweru ICA,Intensive Conservation Area
WEDZA,
Wedza North ICA,Intensive Conservation Area
Gandame West ICA,Intensive Conservation Area
Save North CL,Communal Land
Gandame East ICA,Intensive Conservation Area
Ngezi RP,
Majoi ICA,Intensive Conservation Area
Odzi ICA,Intensive Conservation Area
Magandara ICA,Intensive Conservation Area
